"","species","beta_yr","se_yr","p_yr"
"55","HOFI",-0.00470005990010253,0.0449075072061297,0.916644892689473
"56","HOGR",-0.114262109296658,0.0518776888361788,0.0276279695127194
"57","HOME",-0.530366666148985,0.326185396562266,0.103956691661517
"58","HOSP",-1.46547681824684,0.305722600275623,1.63908400035581e-06
"59","HUVI",0.156736828609404,0.117266681873067,0.18135830336445
"60","KILL",-0.468561034326133,0.22736418220459,0.0393183770472914
"61","LESC",-0.340082804086863,0.236131570196559,0.149803496794325
"62","LISP",-0.500568789480467,0.332314869074671,0.13198793726338
"63","MALL",-0.016129199669686,0.0354796946612828,0.649394388606533
"64","MERL",0.0197174311100596,0.292868315891094,0.946322779903352
"65","MODO",-0.524948845504084,0.796964030194903,0.510097589078887
"66","NOFL",-0.166374822850384,0.0175608846473088,2.68887417290649e-21
"67","NRWS",-0.467146698691255,0.582060204958975,0.422220691436387
"68","NSHO",-0.417892917687826,0.255476158873775,0.101893730885884
"69","OCWA",0.0363386377500927,0.0776785231611582,0.639921869786132
"70","OSFL",-0.200273160041304,NA,NA
"71","OSPR",0.200931293541153,0.175324051479816,0.251771716538459
"72","PAWR",-0.0773534258199484,0.0164412595269325,2.54070402584914e-06
"73","PBGR",-0.236442113380451,0.075506698553332,0.00173971590746115
"74","PEFA",-0.214583853245377,0.594198419980564,0.718001037488859
"75","PIGU",-0.622776524072283,0.609859981876963,0.307169393094651
"76","PISI",-0.0592371456616778,0.0649899971173773,0.362042007566337
"77","PIWO",0.262810935027621,0.126449340179357,0.0376735324194533
"78","PUFI",1.04120603625816,0.138937747099009,6.6781684696251e-14
"79","RBGU",-0.121439556660551,0.135782336484005,0.371124319132428
"80","RBME",-0.29691055510328,0.215361806329489,0.167999826696598
"81","RBNU",0.157121965286625,0.0196525720440766,1.2959250219075e-15
"82","RBSA",0.21718293307228,0.371564981845258,0.558878170591907
"83","RCKI",-0.149963405131506,0.0335689439387445,7.92035060774031e-06
"84","RECR",-0.0035000003520038,0.219442561218662,0.987274675282794
"85","RHAU",0.173469413189436,0.356122419106674,0.626183122911068
"86","RNDU",-0.367829398741827,0.225178800453632,0.102364041053439
"87","RNGR",-0.591205271065355,0.0973796134834126,1.27005367737762e-09
"88","ROPI",-0.415027950033132,0.110656374832047,0.000176410973746796
"89","RTHA",-0.186181573398961,0.191605163334823,0.331202839435591
"90","RTLO",-0.058922255180894,0.67539900290648,0.930480220061319
"91","RUHU",-0.214048099727836,0.157004202262666,0.172779412818513
"92","RWBL",-1.01407383129461,0.0719137032796629,3.73048712321535e-45
"93","SAVS",-0.503948839762806,0.04457886071468,1.24435958023821e-29
"94","SBIG",0.165945035415857,0.0959156123985657,0.0836097388298948
"95","SOSP",-0.00483673416644722,0.00838423254090192,0.564017452232402
"96","SPSA",-0.232918416429929,0.609157967118826,0.702193410842688
"97","SPTO",0.0223894275312862,0.0117874574621545,0.0575082162442244
"98","SSHA",-0.608273147802646,0.401350711406714,0.129629346921003
"99","STJA",-0.0524430516624442,0.0569798075824996,0.357374433086136
"100","SUSC",-0.134025020484881,0.266787934580535,0.615410531306919
"101","SWTH",0.0620392968283169,0.0466274807483583,0.18334346253007
"102","TOWA",0.119055337009155,0.177743068245198,0.502974425483768
"103","TRES",-0.206772639304759,0.156801493338207,0.187272604796138
"104","VASW",-0.759791521178939,0.204109450498951,0.000197282531983018
"105","VATH",0.0999368127898005,0.0736729879030077,0.174942704579515
"106","VESC",-0.703778687617492,0.745271545901654,0.345003501818314
"107","VGSW",-0.326007721767435,0.102586635853132,0.00148357618380525
"108","WAVI",0.272492282546186,0.119220422780447,0.022276646511586
"109","WCSP",-0.353502385701757,0.0417084953387647,2.33974003234459e-17
"110","WEFL",0.530642707820028,0.0268395221645705,5.29747103299555e-87
"111","WEGR",-0.765180578588222,NA,NA
"112","WEGU",-0.585823029547518,0.202744358777646,0.00385896141192011
"113","WETA",0.191513273377061,0.164265239421286,0.243663665283419
"114","WEWP",-0.0496232221081246,NA,NA
"115","WIFL",-0.262253702895603,0.276306512698981,0.342549156074845
"116","WIWA",0.269823982821962,0.0356447772523001,3.73787323816743e-14
"117","YEWA",-0.156034373907622,0.289645609545719,0.590088431702639
"118","YRWA",0.161678384523841,0.100390473394788,0.10728977295763
